key,en,zh_CN,zh_TW,ja,ko,de,fr
About,,关于Ciallo,,,,,
Background color,,,,,,,
Ciallo,,Ciallo,,,,,
Close Document,,,,,,,
Copy,,,,,,,
Create,,,,,,,
Cut,,剪切,,,,,
Delete,,删除,,,,,
Document name,,,,,,,
Document name cannot be empty.,,,,,,,
Double click to rename,,,,,,,
Enable AutoReload,,,,,,,
Enable StackTrace,,,,,,,
Enable Tracking,,,,,,,
Error,,,,,,,
Export as Godot scene,,,,,,,
Export as image,,,,,,,
Invalid document name. Please use a valid file name.,,,,,,,
Language,,,,,,,
Lasso - Free-hand selection,,,,,,,
Layer,,,,,,,
New Document,,,,,,,
Opacity:,,,,,,,
Open,,,,,,,
Open a File,,,,,,,
Open Document,,,,,,,
Paint Brush,,,,,,,
Paint Fill - Draw colored area free-handly.,,,,,,,
Paste,,,,,,,
Recent documents:,,,,,,,
Recent Files,,,,,,,
Redo,,,,,,,
Reference size (?),,,,,,,
Reload,,,,,,,
Reload automatically.,,,,,,,
Reload View.,,,,,,,
Rotation,,,,,,,
Save,,,,,,,
Save As...,,,,,,,
Save folder,,,,,,,
Save folder does not exist.,,,,,,,
Selection,,,,,,,
Set Property,,,,,,,
Settings,,设置,,,,,
Start,,,,,,,
Undo,,,,,,,
User manual,,,,,,,
Vector fill - Fill enclose areas with editable fill markers.,,,,,,,
Zoom,,,,,,,
